test_title,test_description,test_category,test_difficulty,test_time_limit_minutes,question_text,question_type,question_points,choice_1,choice_1_correct,choice_2,choice_2_correct,choice_3,choice_3_correct,choice_4,choice_4_correct
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which of the following is not similar to MS-Excel?,single,1,Lotus 123,FALSE,Supercalc,FALSE,DB2,TRUE,VPP3D,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,The spreadsheet can be used by?,single,1,Finance Professionals,FALSE,Engineers,FALSE,Stock Brokers,FALSE,All of the above,TRUE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which of the following is not a valid version of MS-Excel?,single,1,Excel 3.0,FALSE,Excel 5.0,FALSE,Excel 4.5,TRUE,Excel 7.0,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,How many numbers of sheets contain a single spreadsheet?,single,1,100,FALSE,155,FALSE,225,FALSE,255,TRUE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which of the following is not a valid bar in MS-Excel?,single,1,Paint Bar,TRUE,Formula Bar,FALSE,Title Bar,FALSE,Menu Bar,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Excel uses a _________ to denote a range of cells?,single,1,Semicolon,FALSE,Comma,FALSE,Colon,TRUE,Dot,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Each cell has a _______ address in MS_-Excel?,single,1,Auto,FALSE,Unique,TRUE,Physical,FALSE,None of these,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,The data that you have entered in the worksheet can be changed is called?,single,1,Editing,FALSE,Inserting,FALSE,Updating,FALSE,Formatting,TRUE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which menu option can be used to delete the spreadsheet in MS-Excel?,single,1,File > delete sheet,FALSE,View > delete sheet,FALSE,Window > delete sheet,FALSE,Edit > delete sheet,TRUE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which menu can be used to turn on or turn off the formula and status bar?,single,1,Windows Menu,FALSE,View Menu,TRUE,Edit Menu,FALSE,Date Menu,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,The default window contains _______ numbers of bars in MS-Excel?,single,1,Five,FALSE,Six,TRUE,Seven,FALSE,Eight,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,The _____ menu is used to short a list on a sheet in MS-Excel?,single,1,View,FALSE,Edit,FALSE,Data,TRUE,Window,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,In MS-Excel you can split a sheet into different size?,single,1,Horizontal,FALSE,Vertically,FALSE,Freeze,FALSE,All of the above,TRUE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which short key displays window containing information about active cell in MS-Excel?,single,1,ALT + CTRL + F1,FALSE,CTRL + F2,TRUE,ALT + F2,FALSE,F3,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which of the following is valid text operator in MS-Excel?,single,1,< >,FALSE,+,FALSE,X,FALSE,&,TRUE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,"Finds minimum value among a range of cell from A4, A5, A6, A7 and A8 in MS-Excel?",single,1,Min (A4 to A8),FALSE,Min (A4 - A8),FALSE,Min (A4 : A8),TRUE,Min (8A : 4A),FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which of the following is produce the current date and time in MS-Excel?,single,1,Now (),TRUE,time (),FALSE,Date (),FALSE,Both a and b,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,The last bar of the Excel screen is called?,single,1,Status bar,TRUE,Menu bar,FALSE,Tool bar,FALSE,Both a and b,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which of the following is latest version of Excel?,single,1,Excel 2000,FALSE,Excel 2002,FALSE,Excel ME,FALSE,Excel XP,TRUE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Excel files have a default extension of?,single,1,XLS,TRUE,XLW,FALSE,WK1,FALSE,123,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which of the following is a popular DOS based spreadsheet package?,single,1,Word,FALSE,Smart Cell,FALSE,Excel,FALSE,Lotus 1-2-3,TRUE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Graphics symbol in MS-Excel like?,single,1,Chart,FALSE,Graph,FALSE,Clip art,FALSE,All of the above,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which of the following key can be used to open two worksheet at a time in MS -Excel application?,single,1,ALT + O + 2,FALSE,CTRL + O + 2,FALSE,ALT + W + 2,FALSE,CTRL + W + 2,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Which of the following is not a valid MS-Excel function?,single,1,Statistical,FALSE,Mathematical,FALSE,Financial,FALSE,Calculation,FALSE
Advance Excel Test,Advance Excel operations,Excel,Intermediate,30,Multiple calculations can be made in a single formula using?,single,1,Standard,FALSE,Array Formula,FALSE,Complex Formula,FALSE,Smart Formula,FALSE
